,model 1,model 2,acc,mcc,tp,tn,fp,fn,auroc,auprc
4,easiest-interleaved-50pct,no-easy-80pct,0.9212995661386338,0.8426354948563949,4663,4468,426,354,0.9771424683660352,0.9771915113986811
1,curriculum-reordered-shuffled-20pct,no-easy-80pct,0.9205932801937241,0.8411766718847541,4645,4479,415,372,0.9771027179433003,0.9770386677638785
6,easiest-interleaved-50pct,hardest-interleaved-25pct,0.9196851982645545,0.839370964703696,4645,4470,424,372,0.9769379939835128,0.9769032529119217
5,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9194834022802946,0.8390100780977438,4656,4457,437,361,0.9769844645084522,0.9769131421828455
0,curriculum-reordered-shuffled-20pct,easiest-interleaved-50pct,0.9193825042881647,0.8387543949278026,4639,4473,421,378,0.9772514765693658,0.9772096023297194
8,no-easy-80pct,hardest-interleaved-25pct,0.918676218343255,0.8373471252033383,4638,4467,427,379,0.9769622270793401,0.97690616531757
7,no-easy-80pct,hardest-interleaved-10pct,0.9182726263747352,0.8365874070037032,4650,4451,443,367,0.9768651317844624,0.976791443527206
9,hardest-interleaved-10pct,hardest-interleaved-25pct,0.9181717283826052,0.8363472378587434,4639,4461,433,378,0.9767987249563173,0.9766066534793589
3,curriculum-reordered-shuffled-20pct,hardest-interleaved-25pct,0.9178690344062154,0.8357145890609929,4624,4473,421,393,0.9770895831980827,0.9768932282650472
2,curriculum-reordered-shuffled-20pct,hardest-interleaved-10pct,0.9176672384219554,0.8353285170749704,4633,4462,432,384,0.9770197959548895,0.9768128345775371
