,model 1,model 2,model 3,acc,mcc,tp,tn,fp,fn,auroc,auprc
0,curriculum-reordered-shuffled-20pct,easiest-interleaved-50pct,no-easy-80pct,0.9222076480678034,0.8444250053664261,4660,4480,414,357,0.9775767702439413,0.9776467396847994
6,easiest-interleaved-50pct,no-easy-80pct,hardest-interleaved-10pct,0.9216022601150237,0.8432519893645516,4667,4467,427,350,0.977390399409478,0.9774524633616744
4,curriculum-reordered-shuffled-20pct,no-easy-80pct,hardest-interleaved-25pct,0.9206941781858541,0.8413843414600743,4648,4477,417,369,0.9773762261030112,0.9773177338570584
7,easiest-interleaved-50pct,no-easy-80pct,hardest-interleaved-25pct,0.9206941781858541,0.8414017926457262,4654,4471,423,363,0.977366777232033,0.9774266339188724
1,curriculum-reordered-shuffled-20pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9198869942488145,0.8397868149463236,4650,4467,427,367,0.9774493326694145,0.9774278554383343
2,curriculum-reordered-shuffled-20pct,easiest-interleaved-50pct,hardest-interleaved-25pct,0.9198869942488145,0.8397775184889611,4647,4470,424,370,0.9774141437705997,0.9773929823688795
3,curriculum-reordered-shuffled-20pct,no-easy-80pct,hardest-interleaved-10pct,0.9196851982645545,0.839397367608132,4653,4462,432,364,0.9773455580002246,0.9773120323660194
8,easiest-interleaved-50pct,hardest-interleaved-10pct,hardest-interleaved-25pct,0.9190798103117748,0.8381899886295812,4651,4458,436,366,0.9772670346241658,0.9772608147519456
5,curriculum-reordered-shuffled-20pct,hardest-interleaved-10pct,hardest-interleaved-25pct,0.9189789123196448,0.8379683389519726,4645,4463,431,372,0.9772768296822271,0.9771350712135216
9,no-easy-80pct,hardest-interleaved-10pct,hardest-interleaved-25pct,0.9183735243668651,0.836778805925367,4648,4454,440,369,0.9772272027456465,0.9772186675188059
